"common_name","scientific_name","migration","garnett_movement","feeding_guild","trophic_level","primary_lifestyle","foraging_stratum","habitat_breadth","iucn_status","epbc_status","nsw_status","botw_seasonal_codes"
"Yellow-plumed Honeyeater","Ptilotula ornata","Sedentary","local dispersal;nomadic","Omnivore","Omnivore","Insessorial","mid-high",5,"LC","not listed","not listed","1"
"Black Honeyeater","Sugomel nigrum","Migratory","nomadic;irruptive","Nectarivore","Omnivore","Insessorial","understory",5,"LC","not listed","not listed","1"
"Swift Parrot","Lathamus discolor","Migratory","total migrant;nomadic","Nectarivore","Herbivore","Insessorial","mid-high",3,"CR","CR","EN","1;3"
"White-fronted Tern","Sterna striata","Partial migrant","total migrant","Aquatic predator","Carnivore","Aerial","pelagic",3,"NT","not listed","not listed","1;3;4"
"Greater Sand-Plover","Anarhynchus leschenaultii","Migratory",NA,"Aquatic predator","Carnivore","Terrestrial",NA,5,"LC",NA,NA,"2;3;4"
"White-throated Honeyeater","Melithreptus albogularis","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","canopy",6,"LC","not listed","not listed","1"
"Marsh Sandpiper","Tringa stagnatilis","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","around-water",3,"LC","not listed","not listed","2;3;4"
"Hooded Plover","Thinornis cucullatus","Partial migrant","local dispersal;nomadic","Aquatic predator","Carnivore","Terrestrial","ground",1,"VU","VU","CR","1"
"Brush Bronzewing","Phaps elegans","Sedentary","local dispersal","Granivore","Herbivore","Terrestrial","ground",4,"LC","not listed","not listed","1"
"Brolga","Antigone rubicunda","Partial migrant","total migrant","Omnivore","Herbivore","Terrestrial","around-water",3,"LC","not listed","VU",NA
"Orange Chat","Epthianura aurifrons","Sedentary","local dispersal;nomadic","Invertivore","Carnivore","Generalist","ground",3,"LC","not listed","not listed","1"
"Fluttering Shearwater","Puffinus gavia","Partial migrant","total migrant","Aquatic predator","Carnivore","Generalist","pelagic",5,"LC","not listed","not listed","1;2"
"Ground Parrot","Pezoporus wallicus","Sedentary","local dispersal","Granivore","Herbivore","Generalist","ground",5,"LC","CR","VU","1"
"Satin Flycatcher","Myiagra cyanoleuca","Migratory","total migrant","Invertivore","Carnivore","Insessorial","canopy",3,"LC","not listed","not listed","1;3"
"Pied Honeyeater","Certhionyx variegatus","Partial migrant","nomadic","Nectarivore","Herbivore","Insessorial","understory",3,"LC","not listed","VU","1"
"Black Falcon","Falco subniger","Partial migrant","local dispersal;partial migrant","Vertivore","Carnivore","Generalist","ground",4,"LC","not listed","VU","1"
"Painted Honeyeater","Grantiella picta","Migratory","total migrant","Omnivore","Herbivore","Insessorial","understory",4,"LC","VU","VU","1;3"
"Pacific Swift","Apus pacificus","Partial migrant","total migrant","Invertivore","Carnivore","Aerial","aerial",9,"LC","not listed","not listed","1;2;3;4"
"White-capped Albatross","Thalassarche cauta","Migratory","total migrant","Aquatic predator","Carnivore","Aquatic","pelagic",4,"NT","VU","VU","1;2"
"Black-eared Cuckoo","Chalcites osculans","Sedentary","partial migrant;nomadic","Invertivore","Carnivore","Insessorial","ground",3,"LC","not listed","not listed","1;3"
"White-eared Monarch","Carterornis leucotis","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","canopy",4,"LC","not listed","VU","1"
"Bush Thick-knee","Burhinus grallarius","Migratory","local dispersal","Invertivore","Carnivore","Terrestrial","ground",6,"LC","not listed","EN","1"
