"common_name","scientific_name","wlab_taxon_id","wlab_scientificname","n_wlab_subspecies","n_nsw_subspecies","risk_listed","match_type","wlab_review","wlab_review_reason"
"Brown Skua","Stercorarius antarcticus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Black-breasted Kite","Hamirostra melanosternon","u231","Hamirostra melanosternon",1,1,TRUE,"binomial",FALSE,NA
"Black-faced Cormorant","Phalacrocorax fuscescens","u98","Phalacrocorax fuscescens",1,1,TRUE,"binomial",FALSE,NA
"Marbled Frogmouth","Podargus ocellatus","u314b","Podargus ocellatus plumiferus",1,1,TRUE,"binomial",FALSE,NA
"Gray Noddy","Anous albivitta",NA,NA,0,0,FALSE,"none",FALSE,NA
"European Greenfinch","Chloris chloris",NA,NA,0,0,FALSE,"none",FALSE,NA
"Flock Bronzewing","Phaps histrionica","u36","Phaps histrionica",1,1,TRUE,"binomial",FALSE,NA
"Inland Dotterel","Peltohyas australis","u145","Peltohyas australis",1,1,TRUE,"binomial",FALSE,NA
"Radjah Shelduck","Radjah radjah",NA,NA,0,0,FALSE,"none",FALSE,NA
"Gray-faced Petrel","Pterodroma gouldi",NA,NA,0,0,FALSE,"none",FALSE,NA
"Rose-ringed Parakeet","Psittacula krameri",NA,NA,0,0,FALSE,"none",FALSE,NA
"South Island Oystercatcher","Haematopus finschi",NA,NA,0,0,FALSE,"none",FALSE,NA
"Common Ostrich","Struthio camelus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Striated Fieldwren","Calamanthus fuliginosus","u500a","Calamanthus fuliginosus albiloris",1,1,TRUE,"binomial",FALSE,NA
"Eastern Yellow Wagtail","Motacilla tschutschensis",NA,NA,0,0,FALSE,"none",FALSE,NA
"Rufous Fieldwren","Calamanthus campestris","u502a;u502c","Calamanthus campestris campestris;Calamanthus campestris isabellinus",2,1,TRUE,"binomial",FALSE,NA
"Little Curlew","Numenius minutus","u151","Numenius minutus",1,1,TRUE,"binomial",FALSE,NA
