WLAB_ScientificName,WLAB_CommonName,WLAB_Taxon_ID
Lophorina paradisea,Paradise Riflebird,u686
Psophodes cristatus,Chirruping Wedgebill,u866
Amytornis barbatus barbatus,Bulloo Grey Grasswren,u871a
Synoicus ypsilophorus australis,Mainland Brown Quail,u11a
Sericornis frontalis frontalis,South-eastern White-browed Scrubwren,u488d
Sericornis frontalis laevigaster,Buff-breasted Scrubwren,u488f
Sericornis frontalis tweedi,Central east Coast White-browed Scrubwren,u488j
Corcorax melanorhamphos melanorhamphos,Eastern White-winged Chough,u693a
Ceyx azureus azureus,Southern Azure Kingfisher,u319a
Symposiachrus trivirgatus gouldii,Southern Spectacled Monarch,u375b
Psophodes olivaceus olivaceus,South-east Eastern Whipbird,u421b
Acrocephalus australis australis,Eastern Australian Reed-Warbler,u524a
Zosterops lateralis cornwalli,Eastern Silvereye,u574c
Zosterops lateralis pinarochrous,South Australian Silvereye,u574f
Zosterops lateralis westernensis,South-eastern Silvereye,u574i
Melithreptus gularis,Black-chinned Honeyeater,u580
Melithreptus laetior,Golden-backed Honeyeater,u581
Melithreptus brevirostris brevirostris,South-eastern Brown-headed Honeyeater,u583a
Melithreptus brevirostris pallidiceps,Northern Brown-headed Honeyeater,u583d
Myzomela obscura harterti,Eastern Dusky Honeyeater,u590b
Acanthorhynchus tenuirostris tenuirostris,South-east Eastern Spinebill,u591d
Ptilotula fusca fusca,Southern Fuscous Honeyeater,u613a
Manorina flavigula flavigula,Eastern Yellow-throated Miner,u635a
Manorina flavigula wayensis,Inland Yellow-throated Miner,u635e
Acanthagenys rufogularis,Spiny-cheeked Honeyeater,u640
Geopelia cuneata,Diamond Dove,u31
Petroica rosea,Rose Robin,u384
Tregellasia capito capito,Southern Pale-yellow Robin,u396a
Pomatostomus temporalis temporalis,Eastern Grey-crowned Babbler,u443b
Pomatostomus superciliosus gilgandra,Eastern White-browed Babbler,u445c
Pomatostomus superciliosus superciliosus,Southern White-browed Babbler,u445d
Ashbyia lovensis,Gibberbird,u452
Gerygone olivacea olivacea,Eastern White-throated Gerygone,u453b
Gerygone levigaster cantator,Eastern Mangrove Gerygone,u460a
Gerygone fusca exsul,Eastern Woodlands Western Gerygone,u463a
Sericornis citreogularis intermedius,Central Yellow-throated Scrubwren,u493c
Pyrrholaemus brunneus,Redthroat,u497
Calamanthus pyrrhopygius pyrrhopygius,Eastern Chestnut-rumped Heathwren,u498c
Gavicalis virescens forresti,Inland Singing Honeyeater,u608b
Gavicalis virescens sonorus,South-eastern Singing Honeyeater,u608c
Caligavis chrysops chrysops,South-eastern Yellow-faced Honeyeater,u614b
Nesoptilotis leucotis leucotis,South-eastern White-eared Honeyeater,u617b
Nesoptilotis leucotis depauperata,Inland White-eared Honeyeater,u617e
Cinclosoma cinnamomeum cinnamomeum,Southern Cinnamon Quail-thrush,u439b
Cinclosoma cinnamomeum tirariense,Northern Cinnamon Quail-thrush,u439c
Epthianura aurifrons,Orange Chat,u450
Cisticola exilis exilis,South-eastern Golden-headed Cisticola,u525c
Sugomel nigrum,Black Honeyeater,u589
Emblema pictum,Painted Finch,u654
Geopelia placida placida,Eastern Peaceful Dove,u30c
Centropus phasianinus phasianinus,Eastern Pheasant Coucal,u349a
Rhipidura leucophrys leucophrys,Southern Willie Wagtail,u364a
Microeca fascinans assimilis,Southern Jacky Winter,u377a
Microeca fascinans fascinans,Eastern Jacky Winter,u377b
Microeca fascinans pallida,Northern Jacky Winter,u377c
Petroica boodang boodang,Eastern Scarlet Robin,u380a
Petroica phoenicea,Flame Robin,u382
Melanodryas cucullata picata,Northern Hooded Robin,u385c
Grallina cyanoleuca cyanoleuca,Southern Magpie-lark,u415a
Drymodes brunneopygia,Southern Scrub-robin,u441
Gerygone mouki richmondi,Southern Brown Gerygone,u454c
Acanthiza apicalis albiventris,Eastern Inland Thornbill,u476a
Acanthiza uropygialis,Chestnut-rumped Thornbill,u481
Calamanthus cautus cautus,Eastern Mallee Shy Heathwren,u499a
Calamanthus cautus macrorhynchus,Riverina Shy Heathwren,u499c
Calamanthus fuliginosus albiloris,Eastern Striated Fieldwren,u500a
Lichmera indistincta ocularis,Eastern Brown Honeyeater,u597c
Todiramphus macleayii incinctus,Eastern Forest Kingfisher,u324a
Rhipidura albiscapa albiscapa,Tasmanian Grey Fantail,u361b
Rhipidura albiscapa alisteri,South-eastern Grey Fantail,u361c
Rhipidura rufifrons intermedia,North-eastern Rufous Fantail,u362a
Rhipidura rufifrons rufifrons,Southern Rufous Fantail,u362b
Myiagra cyanoleuca,Satin Flycatcher,u366
Carterornis leucotis,White-eared Monarch,u376
Epthianura tricolor,Crimson Chat,u449
Cincloramphus timoriensis alisteri,Australian Tawny Grassbird,u523
Myzomela sanguinolenta,Scarlet Honeyeater,u586
Phylidonyris pyrrhopterus pyrrhopterus,Eastern Crescent Honeyeater,u630b
Stagonopleura bella,Beautiful Firetail,u650
Taeniopygia castanotis,Zebra Finch,u653
Taeniopygia bichenovii bichenovii,Eastern Double-barred Finch,u655b
Neochmia modesta,Plum-headed Finch,u661
Petroica goodenovii,Red-capped Robin,u381
Eopsaltria australis australis,South-eastern Yellow Robin,u392a
Eopsaltria australis chrysorrhos,North-eastern Yellow Robin,u392b
Epthianura albifrons,White-fronted Chat,u448
Acanthiza lineata alberti,Southern Queensland Striated Thornbill,u470a
Acanthiza lineata lineata,South-eastern Striated Thornbill,u470c
Acanthiza reguloides australis,South Australian Buff-rumped Thornbill,u484a
Acanthiza reguloides nesa,Southern Queensland Buff-rumped Thornbill,u484b
Acanthiza reguloides reguloides,South-eastern Buff-rumped Thornbill,u484c
Acanthiza chrysorrhoa leighi,South-eastern Yellow-rumped Thornbill,u486c
Acanthiza chrysorrhoa normantoni,Northern Yellow-rumped Thornbill,u486d
Sericornis magnirostra magnirostra,East Coast Large-billed Scrubwren,u494c
Struthidea cinerea cinerea,Southern Apostlebird,u675a
Eudyptula minor novaehollandiae,Australian Little Penguin,u5
Myiagra rubecula rubecula,South-eastern Leaden Flycatcher,u365c
Myiagra rubecula yorki,Eastern Leaden Flycatcher,u365d
Poodytes gramineus goulburni,Eastern Little Grassbird,u522a
Anthus novaeseelandiae australis,Central Australian Pipit,u647a
Lonchura castaneothorax castaneothorax,Australian Chestnut-breasted Mannikin,u657
Aegotheles cristatus cristatus,Mainland Australian Owlet-nightjar,u317a
Acanthiza nana modesta,Western Yellow Thornbill,u471b
Acanthiza nana nana,East Coast Yellow Thornbill,u471c
Acanthiza pusilla dawsonensis,Northern Brown Thornbill,u475b
Acanthiza pusilla pusilla,South-eastern Brown Thornbill,u475d
Petroica rodinogaster inexpectata,Mainland Pink Robin,u383a
Dicaeum hirundinaceum,Mistletoebird,u564
Pardalotus rubricatus rubricatus,Inland Red-browed Pardalote,u570a
