"common_name","scientific_name","wlab_taxon_id","wlab_scientificname","risk_assessed","wlab_review","wlab_review_reason","migration","garnett_movement","feeding_guild","trophic_level","primary_lifestyle","foraging_stratum","habitat_breadth","iucn_status","epbc_status","nsw_status","rez","n_checklists_rez","n_positive_rez","sufficient","seasonality_index","amplitude_link","peak_doy","peak_date","prob_seasonal","is_seasonal","window_start_doy","window_end_doy","window_start_date","window_end_date","window_wraps","mean_abund","se_abund","range_masked_in_rez","n_train_total","dev_expl","run_date"
"Laughing Kookaburra","Dacelo novaeguineae","u322b","Dacelo novaeguineae novaeguineae",TRUE,FALSE,NA,"Sedentary","local dispersal","Omnivore","Carnivore","Insessorial","ground",5,"LC","not listed","not listed","statewide",324805,100490,TRUE,0.372572124443465,0.466126553934367,228,"16 Aug",0,FALSE,NA,NA,NA,NA,FALSE,0.636388761701718,0.0380068646404191,FALSE,334105,0.245260958712239,"2026-07-03"
"Laughing Kookaburra","Dacelo novaeguineae","u322b","Dacelo novaeguineae novaeguineae",TRUE,FALSE,NA,"Sedentary","local dispersal","Omnivore","Carnivore","Insessorial","ground",5,"LC","not listed","not listed","central_west",3966,1208,TRUE,0.372845607071156,0.466562527945626,228,"16 Aug",0,FALSE,NA,NA,NA,NA,FALSE,1.04109405121747,0.0314007049439883,FALSE,334105,0.245260958712239,"2026-07-03"
"Laughing Kookaburra","Dacelo novaeguineae","u322b","Dacelo novaeguineae novaeguineae",TRUE,FALSE,NA,"Sedentary","local dispersal","Omnivore","Carnivore","Insessorial","ground",5,"LC","not listed","not listed","new_england",3782,1079,TRUE,0.372766186194672,0.466435899081986,228,"16 Aug",0,FALSE,NA,NA,NA,NA,FALSE,1.23313013703768,0.0334390330667202,FALSE,334105,0.245260958712239,"2026-07-03"
"Laughing Kookaburra","Dacelo novaeguineae","u322b","Dacelo novaeguineae novaeguineae",TRUE,FALSE,NA,"Sedentary","local dispersal","Omnivore","Carnivore","Insessorial","ground",5,"LC","not listed","not listed","south_west",1552,329,TRUE,0.372762816554203,0.466430526872544,228,"16 Aug",0,FALSE,NA,NA,NA,NA,FALSE,0.300664029816922,0.0442601674012891,FALSE,334105,0.245260958712239,"2026-07-03"
"Pied Currawong","Strepera graculina","u694c;u694e","Strepera graculina graculina;Strepera graculina ashbyi",TRUE,TRUE,"multiple_nsw_subspecies","Sedentary","local dispersal;partial migrant","Omnivore","Omnivore","Generalist","ground",3,"LC","VU","VU","statewide",324805,93545,TRUE,0.62741825126422,0.987298805546909,137,"17 May",1,TRUE,89,260,"30 Mar","17 Sep",FALSE,0.695935997442057,0.0367127020952002,FALSE,334104,0.303203030346081,"2026-07-03"
"Pied Currawong","Strepera graculina","u694c;u694e","Strepera graculina graculina;Strepera graculina ashbyi",TRUE,TRUE,"multiple_nsw_subspecies","Sedentary","local dispersal;partial migrant","Omnivore","Omnivore","Generalist","ground",3,"LC","VU","VU","central_west",3971,1313,TRUE,0.627695018790054,0.988041918633622,136,"16 May",1,TRUE,89,260,"30 Mar","17 Sep",FALSE,1.52182730932996,0.033105612143688,FALSE,334104,0.303203030346081,"2026-07-03"
"Pied Currawong","Strepera graculina","u694c;u694e","Strepera graculina graculina;Strepera graculina ashbyi",TRUE,TRUE,"multiple_nsw_subspecies","Sedentary","local dispersal;partial migrant","Omnivore","Omnivore","Generalist","ground",3,"LC","VU","VU","new_england",3776,1346,TRUE,0.685333436315748,1.15624172877942,196,"15 Jul",1,TRUE,93,263,"03 Apr","20 Sep",FALSE,2.37097577057731,0.034971064388867,FALSE,334104,0.303203030346081,"2026-07-03"
"Pied Currawong","Strepera graculina","u694c;u694e","Strepera graculina graculina;Strepera graculina ashbyi",TRUE,TRUE,"multiple_nsw_subspecies","Sedentary","local dispersal;partial migrant","Omnivore","Omnivore","Generalist","ground",3,"LC","VU","VU","south_west",1552,7,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.000171868077926726,0.0402962081134319,FALSE,334104,0.303203030346081,"2026-07-03"
"Sulphur-crested Cockatoo","Cacatua galerita","u269b","Cacatua galerita galerita",TRUE,FALSE,NA,"Sedentary","local dispersal;partial migrant","Omnivore","Herbivore","Insessorial","ground",3,"LC","not listed","not listed","statewide",324748,93305,TRUE,0.418562832098741,0.542252364621947,185,"04 Jul",0,FALSE,NA,NA,NA,NA,FALSE,2.4911002769373,0.0518904674865345,FALSE,334053,0.230372757229384,"2026-07-03"
"Sulphur-crested Cockatoo","Cacatua galerita","u269b","Cacatua galerita galerita",TRUE,FALSE,NA,"Sedentary","local dispersal;partial migrant","Omnivore","Herbivore","Insessorial","ground",3,"LC","not listed","not listed","central_west",3966,1697,TRUE,0.41935656606788,0.54361842148809,186,"05 Jul",0,FALSE,NA,NA,NA,NA,FALSE,7.01711143824234,0.0412362661608391,FALSE,334053,0.230372757229384,"2026-07-03"
"Sulphur-crested Cockatoo","Cacatua galerita","u269b","Cacatua galerita galerita",TRUE,FALSE,NA,"Sedentary","local dispersal;partial migrant","Omnivore","Herbivore","Insessorial","ground",3,"LC","not listed","not listed","new_england",3781,746,TRUE,0.34181094246276,0.418263067440567,206,"25 Jul",0.001,FALSE,NA,NA,NA,NA,FALSE,2.13315058384534,0.0514569749546446,FALSE,334053,0.230372757229384,"2026-07-03"
"Sulphur-crested Cockatoo","Cacatua galerita","u269b","Cacatua galerita galerita",TRUE,FALSE,NA,"Sedentary","local dispersal;partial migrant","Omnivore","Herbivore","Insessorial","ground",3,"LC","not listed","not listed","south_west",1558,207,TRUE,0.419853496104687,0.544474614414939,185,"04 Jul",0,FALSE,NA,NA,NA,NA,FALSE,1.18645706306081,0.058998063849108,FALSE,334053,0.230372757229384,"2026-07-03"
"Gray Fantail","Rhipidura albiscapa","u361b;u361c","Rhipidura albiscapa albiscapa;Rhipidura albiscapa alisteri",TRUE,FALSE,NA,"Sedentary",NA,"Invertivore","Carnivore","Insessorial",NA,6,"LC",NA,NA,"statewide",324797,92131,TRUE,0.467958364061764,0.631033529661087,124,"04 May",0,FALSE,NA,NA,NA,NA,FALSE,0.664414491142387,0.0383617833018159,FALSE,334105,0.360246836040093,"2026-07-03"
"Gray Fantail","Rhipidura albiscapa","u361b;u361c","Rhipidura albiscapa albiscapa;Rhipidura albiscapa alisteri",TRUE,FALSE,NA,"Sedentary",NA,"Invertivore","Carnivore","Insessorial",NA,6,"LC",NA,NA,"central_west",3970,748,TRUE,0.468063587701607,0.631231322539165,124,"04 May",0,FALSE,NA,NA,NA,NA,FALSE,0.785680784448474,0.0285286429568987,FALSE,334105,0.360246836040093,"2026-07-03"
"Gray Fantail","Rhipidura albiscapa","u361b;u361c","Rhipidura albiscapa albiscapa;Rhipidura albiscapa alisteri",TRUE,FALSE,NA,"Sedentary",NA,"Invertivore","Carnivore","Insessorial",NA,6,"LC",NA,NA,"new_england",3782,1437,TRUE,0.78029280594538,1.51545955522727,76,"17 Mar",1,TRUE,244,110,"01 Sep","20 Apr",TRUE,1.69816057823876,0.0308274597464151,FALSE,334105,0.360246836040093,"2026-07-03"
"Gray Fantail","Rhipidura albiscapa","u361b;u361c","Rhipidura albiscapa albiscapa;Rhipidura albiscapa alisteri",TRUE,FALSE,NA,"Sedentary",NA,"Invertivore","Carnivore","Insessorial",NA,6,"LC",NA,NA,"south_west",1556,101,TRUE,0.926611489748807,2.61198789170201,164,"13 Jun",1,TRUE,96,259,"06 Apr","16 Sep",FALSE,0.118523974061875,0.044181820149365,FALSE,334105,0.360246836040093,"2026-07-03"
"Masked Lapwing","Vanellus miles","u133b","Vanellus miles novaehollandiae",TRUE,FALSE,NA,"Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",4,"LC","not listed","not listed","statewide",324805,77984,TRUE,0.397781556450718,0.507135036453513,52,"21 Feb",0,FALSE,NA,NA,NA,NA,FALSE,0.598652155313577,0.0410994086788923,FALSE,334102,0.288633631217653,"2026-07-03"
"Masked Lapwing","Vanellus miles","u133b","Vanellus miles novaehollandiae",TRUE,FALSE,NA,"Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",4,"LC","not listed","not listed","central_west",3970,464,TRUE,0.606722382845723,0.933239511526716,34,"03 Feb",0.992,TRUE,314,107,"10 Nov","17 Apr",TRUE,0.635638341207112,0.0329057481035138,FALSE,334102,0.288633631217653,"2026-07-03"
"Masked Lapwing","Vanellus miles","u133b","Vanellus miles novaehollandiae",TRUE,FALSE,NA,"Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",4,"LC","not listed","not listed","new_england",3782,905,TRUE,0.205313085145281,0.229807059687204,59,"28 Feb",0,FALSE,NA,NA,NA,NA,FALSE,0.942815368852961,0.0405450088831484,FALSE,334102,0.288633631217653,"2026-07-03"
